                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12329,               0.078985,               0.043081,               0.012974,                0.35756,                0.53168,                0.33844,                0.19263,                0.37767,                0.67956,                0.37758,                0.21657,               0.097894,               0.037139,               0.031675,              0.0027886,                0.07021,                0.00331,                0.00331
                      1,               0.098816,               0.044053,               0.043864,              0.0036452,                0.39745,                0.59125,                0.39457,                0.21693,                0.40957,                0.62628,                0.41693,                0.28388,               0.082922,               0.033857,               0.031824,              0.0024453,               0.040078,              0.0065118,              0.0065118
                      2,               0.088865,               0.041618,               0.047222,              0.0033681,                0.37371,                0.55411,                0.32687,                0.12101,                0.38214,                0.56897,                0.34868,                0.25187,               0.080758,               0.033856,               0.035093,              0.0029913,              0.0098147,              0.0095816,              0.0095816
                      3,               0.080947,               0.040551,               0.049235,              0.0034337,                0.62804,                0.67146,                0.58805,                0.33387,                0.60465,                0.64246,                 0.5634,                0.36392,               0.065896,               0.029942,                0.03497,              0.0024649,               0.009406,               0.009406,               0.009406
                      4,               0.075281,               0.038189,               0.050079,              0.0032122,                0.70292,                0.62577,                 0.6091,                0.34606,                0.69338,                0.61727,                0.61008,                0.46127,               0.065978,               0.034089,               0.035213,              0.0023891,               0.009406,               0.009406,               0.009406
                      5,               0.071017,               0.038574,               0.050924,              0.0031627,                 0.6713,                 0.7313,                0.67231,                0.44096,                 0.6352,                0.67662,                 0.6229,                0.45203,               0.056207,               0.028348,               0.036475,              0.0025257,               0.009208,               0.009208,               0.009208
                      6,               0.068023,               0.037003,               0.051717,              0.0029768,                0.67536,                 0.6608,                0.61338,                0.35023,                0.63368,                0.61303,                0.55967,                 0.3699,               0.062563,               0.035103,               0.034871,              0.0025196,                0.00901,                0.00901,                0.00901
                      7,               0.065954,               0.035844,               0.049774,              0.0027441,                0.80388,                0.67309,                0.70087,                0.35946,                0.68816,                0.58277,                0.57477,                0.40966,               0.056665,               0.030529,               0.036259,              0.0021103,               0.008812,               0.008812,               0.008812
                      8,               0.064904,               0.035285,               0.050855,              0.0025541,                0.77283,                0.73039,                0.72811,                0.48206,                0.66791,                0.63324,                0.59599,                0.43313,               0.047821,               0.029326,               0.037464,              0.0021775,               0.008614,               0.008614,               0.008614
                      9,               0.063395,               0.035833,               0.051615,              0.0026094,                0.80087,                  0.709,                0.72118,                0.44363,                0.71744,                0.62605,                0.61415,                0.42694,               0.049333,               0.034321,               0.035187,              0.0019713,               0.008416,               0.008416,               0.008416
                     10,               0.061607,               0.035474,               0.050278,              0.0023921,                0.79571,                0.72576,                 0.7414,                0.46424,                0.69485,                0.64943,                0.61347,                0.45212,               0.048701,               0.031525,               0.035024,              0.0021067,               0.008218,               0.008218,               0.008218
                     11,               0.061081,               0.036003,               0.051333,              0.0023718,                0.81609,                0.69489,                0.73318,                 0.4688,                0.70359,                0.61515,                0.61224,                0.43737,               0.048314,               0.032805,               0.036081,              0.0018748,                0.00802,                0.00802,                0.00802
                     12,               0.059633,               0.035629,               0.051627,              0.0025634,                0.78689,                 0.7301,                0.74105,                0.47659,                0.67754,                0.61748,                0.60692,                0.43569,               0.047111,               0.029318,                0.03487,              0.0020957,               0.007822,               0.007822,               0.007822
                     13,               0.059222,               0.034331,                0.04995,              0.0022947,                0.79474,                0.75891,                0.76713,                0.53649,                0.72382,                0.66621,                0.65603,                0.47769,               0.043169,               0.029304,               0.035196,               0.002059,               0.007624,               0.007624,               0.007624
                     14,               0.058885,                0.03509,               0.051351,              0.0024961,                0.76514,                0.73046,                0.74902,                0.49454,                0.65082,                0.62863,                 0.5999,                0.42067,               0.045268,               0.030374,               0.035994,              0.0020514,               0.007426,               0.007426,               0.007426
                     15,               0.057236,               0.034973,               0.050899,              0.0023147,                0.81353,                0.73166,                0.76345,                0.45404,                0.69949,                0.62354,                0.60487,                0.44435,               0.048132,               0.028382,               0.035404,              0.0017757,               0.007228,               0.007228,               0.007228
                     16,               0.057726,               0.033802,               0.050106,              0.0023261,                0.81642,                0.75313,                0.77687,                0.51612,                0.73817,                0.67954,                0.66541,                0.48796,               0.044767,               0.031325,               0.035229,              0.0017143,                0.00703,                0.00703,                0.00703
                     17,               0.057018,               0.033699,               0.050432,              0.0020471,                0.83456,                0.73427,                0.77191,                0.52887,                0.72325,                0.63606,                0.62609,                0.46557,               0.043904,               0.027488,                0.03425,              0.0016617,               0.006832,               0.006832,               0.006832
                     18,               0.056104,               0.034106,               0.051097,              0.0023078,                0.81865,                0.70466,                0.74137,                0.50246,                0.69983,                0.60739,                0.60043,                0.46223,               0.045054,               0.029361,               0.036056,              0.0018286,               0.006634,               0.006634,               0.006634
                     19,               0.055861,               0.033695,               0.049043,              0.0021575,                0.78816,                  0.753,                0.77376,                0.52298,                 0.6892,                0.65868,                0.62524,                0.44296,               0.042735,               0.028629,                0.03537,              0.0017206,               0.006436,               0.006436,               0.006436
                     20,               0.055216,               0.033008,               0.049468,              0.0021546,                0.82849,                0.74745,                0.77786,                0.53954,                0.74045,                0.66453,                 0.6584,                0.45941,               0.042582,                0.02609,               0.034814,              0.0016426,               0.006238,               0.006238,               0.006238
                     21,               0.054523,               0.033748,               0.049852,              0.0021518,                0.81229,                 0.7266,                0.76724,                0.53245,                0.71608,                0.63808,                0.63479,                0.47702,                0.04284,               0.027663,               0.036008,              0.0017101,                0.00604,                0.00604,                0.00604
                     22,               0.054179,               0.033012,               0.048519,              0.0020839,                0.82218,                0.74254,                0.77794,                0.56176,                0.71452,                0.65284,                 0.6341,                0.47699,               0.040545,               0.029116,               0.035235,              0.0017645,               0.005842,               0.005842,               0.005842
                     23,               0.054158,               0.032663,                0.05004,               0.002001,                0.81567,                0.74732,                0.78966,                0.57049,                0.74251,                0.64487,                0.65161,                 0.4872,               0.041828,               0.026879,               0.034555,              0.0016671,               0.005644,               0.005644,               0.005644
                     24,               0.053288,               0.032807,               0.048556,              0.0020668,                0.85122,                0.72555,                0.77863,                0.56301,                0.74856,                0.63829,                0.63521,                 0.4824,               0.039614,               0.029092,               0.035207,              0.0016583,               0.005446,               0.005446,               0.005446
                     25,               0.052907,               0.032734,               0.051006,              0.0019033,                0.83661,                0.74307,                0.77271,                0.53678,                0.71974,                0.64949,                0.63021,                0.47408,               0.042435,               0.026763,               0.034413,              0.0017555,               0.005248,               0.005248,               0.005248
                     26,               0.052436,               0.032384,               0.049357,               0.001873,                0.83159,                0.72862,                 0.7909,                0.58306,                0.72091,                0.62003,                 0.6366,                0.48088,               0.040205,               0.031233,               0.034665,              0.0018266,                0.00505,                0.00505,                0.00505
                     27,               0.052059,               0.031948,               0.048755,              0.0017793,                 0.8219,                0.73542,                0.79139,                0.55243,                0.72915,                0.63669,                0.64802,                0.46014,               0.040543,               0.029284,                0.03448,              0.0025736,               0.004852,               0.004852,               0.004852
                     28,               0.051615,               0.032129,               0.048345,              0.0017041,                 0.8359,                 0.7555,                0.79887,                0.56882,                0.73212,                0.66982,                0.66404,                0.49106,               0.040314,               0.026298,               0.033898,              0.0014088,               0.004654,               0.004654,               0.004654
                     29,               0.052323,               0.032062,               0.049993,                0.00165,                0.85033,                0.72715,                0.78735,                0.55717,                 0.7482,                0.63797,                0.65684,                0.47723,               0.039969,               0.027916,               0.034011,              0.0015807,               0.004456,               0.004456,               0.004456
                     30,               0.051289,               0.032408,               0.049509,              0.0018655,                0.84678,                0.74098,                0.79481,                0.56493,                0.74212,                0.64572,                0.65244,                0.49217,               0.039616,               0.029291,               0.033867,              0.0016526,               0.004258,               0.004258,               0.004258
                     31,               0.051284,               0.031551,               0.048142,              0.0017776,                0.83274,                 0.7499,                0.79503,                0.57184,                0.73189,                0.65188,                0.65353,                0.49037,               0.039572,                0.02728,               0.034386,              0.0024778,                0.00406,                0.00406,                0.00406
                     32,               0.051204,               0.031669,               0.049581,              0.0016725,                0.85805,                0.73437,                0.79072,                0.57538,                0.75072,                 0.6436,                0.64623,                0.48106,               0.039316,               0.026982,               0.034046,              0.0015482,               0.003862,               0.003862,               0.003862
                     33,               0.050762,               0.031676,               0.049387,              0.0016679,                0.82974,                0.76247,                0.79915,                0.58296,                0.73294,                0.66715,                 0.6603,                0.49684,               0.038845,               0.026431,               0.034705,              0.0017424,               0.003664,               0.003664,               0.003664
                     34,               0.050775,               0.031856,               0.049547,              0.0016731,                0.84525,                0.73893,                0.79528,                  0.585,                0.73411,                0.63649,                0.63905,                 0.4881,               0.038804,               0.027126,               0.034197,              0.0017678,               0.003466,               0.003466,               0.003466
                     35,               0.050096,               0.031587,               0.049353,              0.0015863,                0.82451,                0.75267,                0.79673,                0.58399,                0.72102,                0.64313,                0.64136,                 0.4939,               0.038347,               0.027625,               0.034184,              0.0016622,               0.003268,               0.003268,               0.003268
                     36,               0.049878,               0.031167,               0.050486,              0.0013901,                 0.8459,                0.73935,                0.80148,                0.59138,                0.73927,                0.65613,                0.65536,                0.49706,               0.038568,               0.025254,                0.03395,               0.001555,                0.00307,                0.00307,                0.00307
                     37,               0.049501,                 0.0311,               0.048898,              0.0014287,                0.83106,                0.75618,                0.79904,                0.59743,                0.74569,                0.64275,                0.64352,                0.49586,               0.038236,               0.027856,               0.034128,              0.0018141,               0.002872,               0.002872,               0.002872
                     38,               0.049826,               0.030783,               0.047718,              0.0015538,                0.83808,                0.73734,                 0.7975,                0.59373,                0.73908,                0.65556,                0.65388,                0.49761,               0.037841,               0.028215,               0.034008,              0.0017492,               0.002674,               0.002674,               0.002674
                     39,                0.04988,               0.031397,               0.049592,              0.0015456,                0.85161,                0.74687,                 0.8026,                0.58966,                0.72783,                0.64633,                0.64702,                0.48851,               0.038169,                0.02782,               0.034053,              0.0016968,               0.002476,               0.002476,               0.002476
                     40,               0.048892,               0.030768,               0.049049,              0.0014747,                0.84665,                0.75543,                0.79469,                0.58328,                0.74152,                0.65494,                0.65369,                 0.4956,               0.037693,               0.026321,               0.034079,                0.00163,               0.002278,               0.002278,               0.002278
                     41,               0.048983,               0.030755,               0.050709,              0.0013916,                0.84341,                0.75149,                0.80461,                0.59313,                 0.7271,                0.64458,                0.64421,                0.49265,               0.038085,               0.028039,                 0.0342,              0.0017158,                0.00208,                0.00208,                0.00208
                     42,               0.048683,               0.030792,               0.048363,              0.0013352,                0.85262,                0.74413,                0.79598,                0.59516,                0.74177,                 0.6556,                0.65777,                0.49823,               0.037598,               0.027042,               0.034135,              0.0017118,               0.001882,               0.001882,               0.001882
                     43,               0.049328,                0.03027,               0.048494,              0.0013726,                0.83403,                 0.7739,                0.81384,                0.60152,                0.74312,                0.65967,                0.65946,                  0.503,               0.037269,               0.026577,               0.034195,              0.0015808,               0.001684,               0.001684,               0.001684
                     44,               0.048639,               0.030349,               0.049157,              0.0014629,                0.83144,                0.76569,                0.80328,                 0.5933,                0.73759,                0.66881,                 0.6641,                   0.51,               0.037648,               0.027032,               0.034102,              0.0016808,               0.001486,               0.001486,               0.001486
