                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12521,               0.080278,               0.042088,               0.016079,                0.13892,                0.37948,                0.08883,               0.034715,                0.15421,                 0.5125,                 0.1211,               0.047795,               0.099976,               0.042064,               0.032761,              0.0042929,               0.070417,               0.003287,               0.003287
                      1,               0.091913,               0.041442,               0.048258,              0.0037447,                0.40338,                0.66759,                0.38415,                0.11935,                 0.4244,                0.70792,                0.42721,                 0.1663,               0.088332,               0.039026,               0.031853,              0.0026145,               0.040286,              0.0064893,              0.0064893
                      2,                0.08774,               0.039298,               0.048177,              0.0037834,                0.55191,                0.56033,                0.46803,                0.31657,                0.56926,                0.59695,                0.49207,                0.40282,               0.087446,                0.04326,               0.032925,               0.002614,               0.010023,              0.0095595,              0.0095595
                      3,               0.079238,                0.03798,               0.049048,              0.0035133,                 0.6626,                0.67427,                0.59897,                0.31314,                0.61208,                0.64328,                0.56141,                0.41198,               0.062729,               0.033688,               0.036362,              0.0023748,               0.009406,               0.009406,               0.009406
                      4,               0.070872,               0.036931,               0.048806,              0.0030097,                 0.7109,                0.60306,                0.59095,                0.41063,                0.67559,                0.61356,                0.58596,                0.44431,               0.062843,               0.035762,               0.032942,              0.0021996,               0.009406,               0.009406,               0.009406
                      5,               0.066705,               0.037872,               0.049896,               0.003215,                0.72609,                0.67407,                0.64548,                0.41103,                0.67581,                0.61674,                0.58486,                0.40734,               0.055161,               0.032669,               0.035248,              0.0022427,               0.009208,               0.009208,               0.009208
                      6,               0.064917,               0.035611,                0.05096,              0.0028142,                0.78947,                0.69477,                0.71539,                0.46832,                0.73513,                0.65018,                 0.6512,                0.46232,               0.052822,               0.030215,               0.033955,              0.0020021,                0.00901,                0.00901,                0.00901
                      7,               0.062396,               0.034601,               0.051096,              0.0028819,                0.78947,                0.74567,                0.76597,                 0.4947,                0.69344,                0.65917,                0.63835,                0.43034,               0.048336,               0.032814,               0.034353,              0.0020028,               0.008812,               0.008812,               0.008812
                      8,               0.061073,               0.033871,               0.050489,              0.0027344,                0.75248,                0.71621,                0.73491,                0.50826,                0.64278,                0.63161,                0.59583,                0.44679,               0.050215,               0.031083,               0.034326,              0.0023392,               0.008614,               0.008614,               0.008614
                      9,               0.059396,               0.034625,               0.049893,              0.0026272,                0.82173,                0.70181,                0.74633,                0.51012,                0.69244,                0.62524,                0.60816,                0.46213,               0.047328,               0.029745,                0.03482,              0.0018693,               0.008416,               0.008416,               0.008416
                     10,               0.057899,               0.032737,               0.050183,              0.0024471,                0.81073,                0.70804,                0.74821,                0.48092,                0.72777,                0.63107,                0.63886,                0.48386,               0.047694,                0.03445,               0.034227,              0.0017585,               0.008218,               0.008218,               0.008218
                     11,               0.057405,               0.032934,               0.050418,              0.0025438,                0.76849,                 0.7315,                0.76511,                0.53171,                 0.6713,                0.63447,                0.62326,                0.46445,                0.04446,               0.029503,               0.033533,              0.0018792,                0.00802,                0.00802,                0.00802
                     12,               0.056626,               0.033333,                0.05055,              0.0022642,                0.80697,                0.72887,                0.77556,                0.49326,                0.68335,                0.61567,                0.61515,                0.47364,               0.048075,               0.030329,               0.034146,               0.001663,               0.007822,               0.007822,               0.007822
                     13,               0.055379,               0.033171,               0.051608,              0.0024306,                 0.8183,                0.73245,                0.77511,                0.53929,                0.71675,                0.63514,                0.64688,                0.48133,               0.044007,               0.026148,               0.033995,              0.0019261,               0.007624,               0.007624,               0.007624
                     14,               0.054897,               0.033478,               0.049288,              0.0023253,                0.82354,                0.73065,                0.78628,                0.53633,                0.72217,                0.64717,                0.64915,                 0.4466,               0.043254,               0.032807,               0.033971,              0.0021832,               0.007426,               0.007426,               0.007426
                     15,               0.054257,                0.03189,               0.048959,              0.0020234,                0.85727,                0.73759,                0.80382,                 0.5599,                0.75699,                0.64753,                0.66926,                 0.4721,               0.041972,               0.028646,                0.03307,               0.001858,               0.007228,               0.007228,               0.007228
                     16,               0.053933,               0.032591,               0.049801,              0.0021684,                0.80911,                0.70485,                 0.7467,                0.51149,                0.71586,                0.60666,                0.60338,                0.46588,               0.045918,               0.028697,               0.036469,              0.0016056,                0.00703,                0.00703,                0.00703
                     17,               0.053185,               0.031995,               0.050149,              0.0019109,                0.80558,                0.72608,                0.77133,                0.53584,                0.67552,                 0.6178,                0.60197,                0.46675,               0.045698,               0.029811,               0.034395,              0.0020814,               0.006832,               0.006832,               0.006832
                     18,               0.052913,               0.031719,               0.051003,              0.0019549,                0.81207,                0.77586,                0.79442,                0.53775,                0.69385,                0.65366,                 0.6361,                0.45457,               0.043864,               0.031961,               0.033489,              0.0023919,               0.006634,               0.006634,               0.006634
