                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 0.1075,               0.058702,               0.050896,               0.009972,                0.33473,                0.69744,                0.39312,                0.20376,                0.33625,                 0.7054,                0.39578,                0.26659,               0.082574,                0.02847,               0.035758,               0.002548,                0.07021,                0.00331,                0.00331
                      1,               0.085872,               0.037157,                0.05072,              0.0038343,                0.54624,                0.75328,                0.55786,                0.34289,                0.55454,                 0.7987,                0.59241,                0.45327,               0.071938,                0.02962,               0.032162,              0.0030509,               0.040078,              0.0065118,              0.0065118
                      2,               0.080341,               0.035948,               0.049608,              0.0037363,                0.60241,                0.64745,                0.57466,                0.36162,                0.62202,                0.67873,                0.60811,                0.41521,               0.067743,               0.031262,                 0.0334,              0.0027122,              0.0098147,              0.0095816,              0.0095816
                      3,               0.073063,               0.035836,               0.048991,              0.0036122,                0.57089,                0.68985,                  0.577,                0.29732,                  0.527,                0.64065,                0.50324,                0.29854,               0.063353,               0.035668,               0.035662,              0.0028571,               0.009406,               0.009406,               0.009406
                      4,                0.06787,               0.034579,               0.048353,              0.0029752,                0.69215,                 0.7363,                0.75023,                0.46353,                0.61602,                0.65559,                 0.6268,                0.40507,               0.050907,               0.028171,               0.035195,              0.0028664,               0.009406,               0.009406,               0.009406
                      5,               0.063635,               0.034839,               0.049718,                  0.003,                0.71561,                0.71423,                0.70761,                0.46331,                0.61914,                0.60868,                0.58007,                0.43165,               0.055278,               0.025685,               0.034168,              0.0025623,               0.009208,               0.009208,               0.009208
                      6,               0.060362,               0.032431,               0.049448,              0.0025536,                 0.7479,                0.80795,                0.79276,                0.44799,                  0.695,                0.73884,                0.70391,                0.46513,               0.049335,               0.026002,               0.033725,              0.0020885,                0.00901,                0.00901,                0.00901
                      7,               0.058475,               0.032794,               0.051103,              0.0026455,                0.75278,                0.78198,                0.77016,                0.44653,                0.62971,                0.66376,                0.60103,                0.37475,               0.049868,               0.029064,               0.035135,              0.0019703,               0.008812,               0.008812,               0.008812
                      8,               0.057505,               0.032063,               0.049426,              0.0025191,                0.79735,                0.78257,                0.79481,                0.45874,                0.67375,                0.65889,                0.63576,                0.38889,                0.04566,               0.030067,               0.034811,              0.0022687,               0.008614,               0.008614,               0.008614
                      9,               0.055487,               0.032112,               0.049442,              0.0024107,                0.73796,                0.73541,                0.77278,                0.54986,                0.65314,                0.64297,                0.63772,                0.43255,               0.044368,               0.030937,                0.03421,              0.0020748,               0.008416,               0.008416,               0.008416
                     10,                0.05408,               0.030842,               0.049981,              0.0020951,                0.76646,                0.76971,                0.79701,                0.53615,                0.68099,                0.66619,                0.66638,                0.47708,               0.043562,               0.027793,               0.035841,              0.0018787,               0.008218,               0.008218,               0.008218
                     11,               0.053839,               0.031502,               0.049805,              0.0020344,                0.82829,                0.77117,                0.81059,                0.56745,                0.74233,                0.70471,                0.69991,                 0.5157,               0.043365,               0.024652,               0.033715,              0.0018755,                0.00802,                0.00802,                0.00802
                     12,                0.05257,               0.030844,               0.049955,              0.0019593,                0.79941,                 0.7752,                0.79696,                0.54035,                0.66792,                0.65214,                0.61828,                0.45495,               0.043154,               0.026875,               0.035325,              0.0017853,               0.007822,               0.007822,               0.007822
