epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.194,1.10933,2.21168,1.35236,1.11843,0.2437,0.64051,0.18244,0.07988,0.17863,0.63308,0.14388,0.06007,1.42022,3.77761,inf,1.51192,0.000547949,0.000547949,0.000547949
2,224.758,1.06052,1.75878,0.81588,1.06169,0.69797,0.67268,0.67223,0.3994,0.59305,0.59491,0.54866,0.34444,1.43451,1.77216,1.66368,1.17806,0.00108176,0.00108176,0.00108176
3,333.721,0.98612,1.67658,0.75782,1.04405,0.65559,0.58779,0.61486,0.36346,0.58828,0.53431,0.53603,0.32325,1.48912,2.33988,2.31651,1.18014,0.00159357,0.00159357,0.00159357
4,442.573,0.99313,1.61315,0.73933,1.0411,0.77164,0.65259,0.68866,0.52558,0.68557,0.59116,0.5886,0.46464,1.1545,1.67092,1.10064,0.99319,0.00156798,0.00156798,0.00156798
5,551.576,0.94187,1.54706,0.70036,1.01824,0.90641,0.5138,0.6933,0.52519,0.77168,0.48815,0.57647,0.46323,1.10943,1.60173,1.84065,0.95913,0.00153497,0.00153497,0.00153497
6,660.302,0.91977,1.56243,0.67634,1.0086,0.66089,0.55449,0.68241,0.5266,0.65945,0.50681,0.59919,0.46782,1.05812,1.58267,1.41559,0.92575,0.00150197,0.00150197,0.00150197
7,769.33,0.90101,1.50907,0.66738,0.99806,0.93461,0.54501,0.70189,0.53803,0.80313,0.51009,0.59045,0.45687,1.06058,1.76863,1.56867,0.93335,0.00146896,0.00146896,0.00146896
8,878.462,0.86787,1.52438,0.6505,0.98318,0.86313,0.61409,0.7265,0.56492,0.75848,0.56221,0.62168,0.47557,0.97014,1.51338,1.09446,0.91185,0.00143595,0.00143595,0.00143595
9,987.373,0.84973,1.47009,0.61693,0.97519,0.851,0.66911,0.73599,0.56414,0.74683,0.60177,0.62129,0.47869,1.02039,1.48231,0.78122,0.90159,0.00140295,0.00140295,0.00140295
10,1096.3,0.83984,1.44368,0.60903,0.97334,0.84264,0.68379,0.73251,0.56559,0.72269,0.59817,0.59283,0.46994,0.96872,1.40697,0.90574,0.91064,0.00136994,0.00136994,0.00136994
11,1204.95,0.8269,1.39587,0.60436,0.97535,0.82734,0.6556,0.74152,0.5679,0.74138,0.59563,0.63185,0.49116,0.98998,1.43618,0.7397,0.89902,0.00133693,0.00133693,0.00133693
12,1313.79,0.82247,1.43447,0.58861,0.96246,0.8825,0.6324,0.72822,0.57218,0.78115,0.58001,0.62393,0.48821,0.94636,1.46177,0.9403,0.88028,0.00130393,0.00130393,0.00130393
13,1422.43,0.80777,1.4363,0.58558,0.95883,0.97066,0.48391,0.73109,0.58269,0.89194,0.47237,0.62129,0.48105,0.92281,1.3468,1.19416,0.88623,0.00127092,0.00127092,0.00127092
14,1531.24,0.77963,1.34802,0.56674,0.96067,0.76801,0.59153,0.73353,0.57948,0.69497,0.54598,0.63009,0.49182,0.91706,1.37922,0.78458,0.86324,0.00123791,0.00123791,0.00123791
15,1640.2,0.79304,1.40183,0.57466,0.95535,0.86461,0.65523,0.76139,0.59643,0.74602,0.58785,0.62717,0.48833,0.8999,1.26855,1.06441,0.86418,0.00120491,0.00120491,0.00120491
16,1749.19,0.76949,1.37636,0.56663,0.95796,0.87168,0.64817,0.75978,0.59726,0.78112,0.58431,0.63345,0.49597,0.90004,1.24054,0.67525,0.87386,0.0011719,0.0011719,0.0011719
17,1857.98,0.77011,1.37449,0.56635,0.94922,0.89618,0.64106,0.75735,0.59253,0.79413,0.58715,0.64155,0.50213,0.90378,1.28913,0.71069,0.87068,0.00113889,0.00113889,0.00113889
18,1966.98,0.76994,1.36874,0.55817,0.94415,0.83856,0.68796,0.76926,0.60431,0.75691,0.61219,0.64924,0.50278,0.88944,1.30626,0.65468,0.87431,0.00110589,0.00110589,0.00110589
19,2075.86,0.76013,1.3152,0.54835,0.94584,0.82732,0.71789,0.77433,0.60454,0.74239,0.63044,0.6547,0.51256,0.89371,1.23764,0.65278,0.87436,0.00107288,0.00107288,0.00107288
20,2184.91,0.75913,1.34458,0.55697,0.93619,0.90161,0.62705,0.76518,0.61064,0.80335,0.58193,0.65762,0.5091,0.83596,1.29138,0.66869,0.84361,0.00103987,0.00103987,0.00103987
21,2294.03,0.76165,1.37093,0.54581,0.94013,0.94097,0.56993,0.76199,0.60406,0.85533,0.53972,0.65977,0.50578,0.85565,1.27826,0.74115,0.85118,0.00100687,0.00100687,0.00100687
22,2402.75,0.73416,1.34562,0.5365,0.94131,0.85358,0.64632,0.7596,0.61146,0.76241,0.59068,0.65643,0.51037,0.86569,1.22502,0.65032,0.86629,0.000973861,0.000973861,0.000973861
23,2511.82,0.73041,1.29667,0.53011,0.9327,0.84324,0.7124,0.78254,0.6182,0.73301,0.63384,0.65338,0.50533,0.84165,1.27837,0.60361,0.84405,0.000940855,0.000940855,0.000940855
24,2620.77,0.72481,1.29672,0.53262,0.93238,0.83034,0.74276,0.79019,0.62199,0.73636,0.64519,0.65591,0.50818,0.86478,1.29439,0.61682,0.86609,0.000907848,0.000907848,0.000907848
25,2729.73,0.75068,1.343,0.53701,0.9337,0.86562,0.65195,0.7504,0.59276,0.75652,0.59001,0.62908,0.49279,0.8766,1.25812,0.81908,0.86458,0.000874842,0.000874842,0.000874842
26,2838.45,0.73051,1.30854,0.52428,0.92725,0.82397,0.71548,0.7859,0.62328,0.7637,0.63215,0.66385,0.5142,0.8327,1.2716,0.61361,0.8498,0.000841835,0.000841835,0.000841835
27,2947.44,0.70598,1.2661,0.50696,0.92968,0.84116,0.68798,0.76867,0.61501,0.76301,0.6309,0.66167,0.51576,0.83519,1.20441,0.63734,0.85023,0.000808828,0.000808828,0.000808828
28,3056.21,0.72181,1.29871,0.52073,0.92529,0.89034,0.59364,0.76787,0.6112,0.81881,0.55036,0.64688,0.5045,0.8554,1.2287,0.70333,0.85772,0.000775822,0.000775822,0.000775822
29,3164.78,0.71219,1.29782,0.51551,0.92706,0.9176,0.55708,0.76141,0.60662,0.85897,0.52863,0.64905,0.50635,0.8516,1.24794,0.70646,0.8605,0.000742815,0.000742815,0.000742815
30,3273.45,0.70439,1.25126,0.50964,0.92044,0.88618,0.64063,0.76245,0.60967,0.78722,0.57375,0.63812,0.49859,0.86388,1.19106,0.76296,0.84519,0.000709809,0.000709809,0.000709809
31,3382.23,0.68028,1.23246,0.48709,0.91894,0.89538,0.63299,0.77217,0.61484,0.81253,0.57683,0.64531,0.50147,0.84062,1.2425,0.67308,0.84157,0.000676802,0.000676802,0.000676802
32,3490.82,0.69062,1.23492,0.49798,0.92487,0.86524,0.71027,0.78204,0.62044,0.75916,0.63376,0.65528,0.50939,0.8449,1.20914,0.63669,0.84942,0.000643795,0.000643795,0.000643795
33,3599.55,0.67055,1.20057,0.48509,0.91833,0.82029,0.6524,0.77697,0.62466,0.78488,0.57978,0.66796,0.51613,0.80019,1.2193,0.62027,0.83662,0.000610789,0.000610789,0.000610789
